,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_mean_2304400,temp_max_2304400,temp_amp_2304400,umid_min_2304400,umid_max_2304400,umid_mean_2304400,umid_amp_2304400,pressao_min_2304400,pressao_max_2304400,pressao_mean_2304400,precip_tot_2304400
2010-11-28,386,386.0,386,386.0,1.0,14.367538,26.00492614285714,27.860545428571427,29.716164714285718,3.7112385714285736,62.24128757142857,81.25083085714286,71.74605921428571,19.009543285714287,0.9938661485714284,0.99717652,0.0016551857142857,0.1254999944285714
2010-12-05,443,443.0,443,443.0,1.0,16.48917,25.950230285714287,27.77489578571429,29.599561285714287,3.649331,63.239596142857145,82.21101942857142,72.72530778571428,18.971423285714277,0.9947908857142858,0.9980014685714286,0.0016052914285714,0.1352500015714285
2010-12-12,386,386.0,386,386.0,0.9540548,14.367538,25.98142357142857,27.728095,29.474766428571428,3.4933428571428564,66.50484457142856,82.60577,74.55530728571429,16.100925428571443,0.9941677842857144,0.9974679314285714,0.0016500735714284,0.3128242871428571
2010-12-19,352,352.0,352,352.0,0.061890353,13.102003,25.011683714285716,26.712402357142857,28.413121,3.4014372857142874,73.364772,89.49031685714286,81.42754442857142,16.125544857142856,0.9934264471428572,0.99675469,0.0016641214285714,1.992010057142857
2010-12-26,278,278.0,278,278.0,2.0744708e-05,10.347605,25.167114285714288,27.088677642857142,29.010241,3.843126714285713,73.28773242857143,89.92851585714286,81.60812414285715,16.640783428571424,0.9954511714285712,0.9982284057142856,0.0013886171428572,0.9098300128571428
2011-01-02,441,441.0,441,441.0,0.99935836,16.414726,25.475285142857143,27.382134642857142,29.288984142857142,3.813699,67.36772071428571,85.16146400000001,76.26459235714286,17.7937432857143,0.9934988642857142,0.9966046842857142,0.00155291,0.3136242831428571
2011-01-09,467,467.0,467,467.0,0.9999765,17.382488,24.851519142857143,26.510384928571423,28.169250714285717,3.3177315714285704,74.93130342857144,89.31099542857143,82.12114942857144,14.379691999999991,0.99461263,0.9972426285714284,0.0013149992857142,2.192200014285714
2011-01-16,455,455.0,455,455.0,0.9662273,16.93583,24.476802285714285,26.363244285714288,28.249686285714287,3.772884000000001,75.3279042857143,89.73449228571428,82.53119828571428,14.406587999999983,0.9950614014285714,0.9981960385714286,0.0015673185714286,3.292855722857143
2011-01-23,442,442.0,442,442.0,0.47858262,16.451948,24.53130214285714,25.837537285714284,27.143772428571427,2.612470285714288,80.08386971428571,90.41801,85.25093985714285,10.334140285714284,0.9943780971428572,0.9973081071428572,0.001465005,3.245694285714286
2011-01-30,549,549.0,549,549.0,0.99830663,20.434658,23.891876142857143,25.68824328571429,27.484610428571425,3.5927342857142825,77.88680599999999,93.47936214285714,85.68308407142857,15.592556142857148,0.9960539228571428,0.9991397628571428,0.00154292,3.3654485428571426
2011-02-06,619,619.0,619,619.0,0.9999868,23.04017,24.618229714285714,26.73486778571429,28.851505857142858,4.233276142857143,73.96412857142857,92.32526128571428,83.14469492857143,18.36113271428572,0.9958374857142857,0.9988980314285716,0.0015302728571429,1.12518855
2011-02-13,897,897.0,897,897.0,1.0,33.387775,25.098223142857144,26.901801142857146,28.705379142857144,3.607156,75.38201114285714,88.74524142857142,82.06362628571428,13.36323028571428,0.9962207957142856,0.9989395742857142,0.0013593892857142,2.0442729
2011-02-20,1100,1100.0,1100,1100.0,1.0,40.94376,24.32028642857143,25.847181142857146,27.374075857142856,3.0537894285714278,80.05187128571428,92.29509385714286,86.17348257142856,12.243222571428577,0.9957753971428572,0.9988495585714288,0.0015370807142857,3.0977157142857146
2011-02-27,1305,1305.0,1305,1305.0,1.0,48.57419,24.39337142857143,26.307669285714287,28.221967142857142,3.828595714285712,77.36690857142857,92.81168785714286,85.08929821428572,15.44477928571429,0.9951152142857144,0.9983745685714284,0.001629677142857,2.7055771428571425
2011-03-06,1453,1453.0,1453,1453.0,1.0,54.082985,24.564797714285717,26.430731642857143,28.296665571428573,3.731867857142859,78.33710357142857,91.14868228571429,84.74289292857142,12.811578714285716,0.99492051,0.9978934142857144,0.0014864521428571,1.6368457571428572
2011-03-13,2123,2123.0,2123,2123.0,1.0,79.02146,24.317422,25.74420814285714,27.170994285714283,2.8535722857142822,82.43541071428571,92.75007142857145,87.59274107142858,10.314660714285722,0.9950907457142858,0.99819344,0.001551347142857,4.945315885714286
2011-03-20,2298,2298.0,2298,2298.0,1.0,85.53524,24.715214142857143,26.51401185714285,28.31280957142857,3.597595428571428,75.87079828571429,90.69237842857142,83.28158835714285,14.82158014285713,0.9961304642857144,0.9993632214285714,0.0016163785714284,1.5186042857142856
2011-03-27,2793,2793.0,2793,2793.0,1.0,103.95993,24.930964714285714,26.57647257142857,28.22198042857143,3.2910157142857166,77.81548742857142,90.39294071428571,84.10421407142857,12.5774532857143,0.9952254757142855,0.9984352571428572,0.0016048907142857,5.195545705714286
2011-04-03,3328,3328.0,3328,3328.0,1.0,123.87349,24.966927714285717,26.57601057142857,28.18509342857143,3.2181657142857176,79.61009342857143,92.17950471428571,85.89479907142857,12.56941128571428,0.9961831671428572,0.9996281285714286,0.0017224807142857,2.4385043457142856
2011-04-10,3114,3114.0,3114,3114.0,0.9999974,115.908066,24.815098428571428,26.41687242857143,28.01864642857143,3.2035480000000014,78.48054657142858,92.14063642857144,85.3105915,13.66008985714285,0.9960657442857144,0.9991719385714284,0.001553097142857,3.258691428714286
2011-04-17,2570,2570.0,2570,2570.0,4.0318304e-10,95.659515,24.284035714285714,25.923769214285716,27.563502714285715,3.2794670000000004,79.80422785714286,93.44480571428572,86.62451678571429,13.640577857142858,0.9949502885714284,0.9984415457142858,0.0017456285714286,4.108454357142857
2011-04-24,2248,2248.0,2248,2248.0,0.0,83.67416,24.181958714285717,25.96311507142857,27.74427142857143,3.562312714285717,78.49656857142857,93.32801828571428,85.91229342857142,14.83144971428571,0.996256,0.9993023028571428,0.0015231514285714,5.479305571428571
2011-05-01,1911,1911.0,1911,1911.0,0.0,71.13048,24.448926857142855,26.178750285714287,27.90857371428572,3.4596468571428574,78.92957542857143,92.76900428571427,85.84928985714285,13.839428857142847,0.9958063142857144,0.9992727771428572,0.0017332314285713,3.415054357142857
2011-05-08,1815,1815.0,1815,1815.0,1.1625145e-12,67.557205,24.909358285714287,26.630972714285715,28.352587142857143,3.443228857142856,77.94316714285715,92.97714214285716,85.46015464285715,15.033974999999998,0.9961679857142858,0.9993691685714284,0.0016005914285713,4.715224328571428
2011-05-15,1492,1492.0,1492,1492.0,0.0,55.53463,25.015006,26.568152357142857,28.12129871428571,3.1062927142857117,72.65980957142857,89.971933,81.31587128571428,17.31212342857144,0.99494176,0.9981912342857144,0.0016247371428571,4.378698715
2011-05-22,1214,1214.0,1214,1214.0,0.0,45.187023,24.56051642857143,26.55243792857143,28.54435942857143,3.983843,74.66702771428571,91.87069385714288,83.26886078571428,17.20366614285716,0.996735,0.9997466257142856,0.0015058128571428,2.600025685714286
2011-05-29,838,838.0,838,838.0,0.0,31.191702,25.030452,26.9549625,28.879473,3.849021000000001,70.81122214285715,89.86183485714287,80.33652850000001,19.05061271428572,0.9972333214285716,1.0003898085714285,0.0015782435714284,1.0379742957142857
2011-06-05,693,693.0,693,693.0,0.0,25.794569,24.377711428571427,26.602887714285718,28.828064,4.450352571428574,68.11032171428572,88.19420771428572,78.15226471428572,20.083886000000007,0.9967589985714286,0.9999455042857144,0.0015932528571428,1.0836842857142857
2011-06-12,542,542.0,542,542.0,0.0,20.174109,24.795122285714285,26.656313214285717,28.517504142857145,3.7223818571428566,69.39912828571428,88.90627857142856,79.15270342857141,19.507150285714275,0.99904364,1.0020047571428572,0.0014805585714285,0.6619442852857143
2011-06-19,416,416.0,416,416.0,0.0,15.484186,24.289236714285718,26.42710428571429,28.564971857142854,4.275735142857144,67.35328814285714,88.92545157142857,78.13936985714285,21.57216342857143,0.9977667985714286,1.0008868714285717,0.0015600364285714,1.7930199998571428
2011-06-26,349,349.0,349,349.0,3.3884007e-12,12.990338,24.16850942857143,26.23746592857143,28.30642242857143,4.137913000000001,71.90407571428571,91.47937628571428,81.69172599999999,19.57530057142857,0.9979971157142856,1.000861228571429,0.0014320564285714,1.9281200857142855
2011-07-03,247,247.0,247,247.0,1.5476509e-13,9.193735,23.83541442857143,25.961353785714287,28.087293142857146,4.251878714285713,71.70091671428571,88.16100785714286,79.93096228571429,16.460091142857152,0.99761187,1.001016457142857,0.0017022935714284,1.3056971714285714
2011-07-10,219,219.0,219,219.0,6.066383e-08,8.15153,23.993887285714287,25.803313928571427,27.61274057142857,3.618853285714284,75.26471485714286,90.46517614285712,82.8649455,15.200461285714267,0.9990389642857144,1.0017610857142858,0.0013610607142857,1.4872543142857142
2011-07-17,216,216.0,216,216.0,0.0051511764,8.0398655,23.269104,25.135354214285712,27.00160442857143,3.732500428571431,73.54074028571429,89.16921642857143,81.35497835714287,15.62847614285714,0.9985795357142856,1.0016062142857145,0.0015133392857142,2.715981271428572
2011-07-24,224,224.0,224,224.0,0.34944308,8.337639,23.69928842857143,25.998088214285715,28.296888,4.597599571428571,65.18262642857142,85.69780385714286,75.44021514285714,20.515177428571437,0.9995129114285712,1.0023281285714287,0.0014076085714286,0.1483314284285714
2011-07-31,191,191.0,191,191.0,0.08590728,7.109326,23.36730085714285,25.89346964285714,28.419638428571428,5.052337571428573,62.97804228571429,85.49605,74.23704614285714,22.51800771428571,0.9968612328571428,1.000465955714286,0.0018023614285715,0.1964071428571428
2011-08-07,148,148.0,148,148.0,0.0006177564,5.508797,24.15727871428572,26.290566500000004,28.423854285714288,4.266575571428572,65.80892814285714,87.14058571428572,76.47475692857142,21.33165757142858,0.99940748,1.00263531,0.001613915,0.2609742928571428
2011-08-14,149,149.0,149,149.0,0.019046947,5.5460186,24.164786,26.85246935714286,29.540152714285718,5.375366714285715,58.67629971428572,87.18570571428572,72.93100271428571,28.509406,0.99818881,1.0019953,0.001903245,0.2571757128571428
