,casos_3156700,p_rt1_3156700,Rt_3156700,p_inc100k_3156700,temp_min_3156700,temp_max_3156700,umid_min_3156700,umid_max_3156700,pressao_min_3156700,pressao_max_3156700,precip_tot_3156700,casos_3154606,p_rt1_3154606,Rt_3154606,p_inc100k_3154606,temp_min_3154606,temp_max_3154606,umid_min_3154606,umid_max_3154606,pressao_min_3154606,pressao_max_3154606,precip_tot_3154606,casos_3106200,p_rt1_3106200,Rt_3106200,p_inc100k_3106200,temp_min_3106200,temp_max_3106200,umid_min_3106200,umid_max_3106200,pressao_min_3106200,pressao_max_3106200,precip_tot_3106200,temp_mean_3106200,temp_amp_3106200,umid_mean_3106200,umid_amp_3106200,pressao_mean_3106200,temp_mean_3154606,temp_amp_3154606,umid_mean_3154606,umid_amp_3154606,pressao_mean_3154606,temp_mean_3156700,temp_amp_3156700,umid_mean_3156700,umid_amp_3156700,pressao_mean_3156700
2010-05-23,46,1.8755058e-07,0.42600593,33.546036,13.892652285714286,23.475694857142855,60.84766771428571,94.87540257142858,1.0006412457142857,1.0044369285714285,0.30822428799999996,59,0.0,0.29728717,17.445454,14.21241992857143,25.256857857142855,57.591586285714286,94.15008657142857,0.9997794285714285,1.0035952142857143,0.36205287142857145,2120,0.0,0.5355,84.07481,14.2814985,24.788386714285714,57.86298228571429,94.35184728571429,1.0000790714285714,1.0038469428571428,0.2781399857142857,19.534942607142856,10.506888214285715,76.10741478571428,36.488865,0.0018839357142856894,19.73463889285714,11.044437928571424,75.87083642857144,36.55850028571429,0.0019078928571428788,18.68417357142857,9.58304257142857,77.86153514285715,34.02773485714287,0.0018978414285714118
2010-05-30,41,1.9212288e-05,0.47192824,29.899727,14.302459714285716,22.616904142857145,62.640343571428566,96.048827,1.0036355285714287,1.007033242857143,0.1633800077142857,47,2.6494895e-10,0.3694578,13.897225,15.01732942857143,24.604745,57.28065885714285,93.95884571428572,1.0026964857142857,1.0062509571428573,0.047648572285714286,1308,0.0,0.44022214,51.872566,14.964159142857143,24.12506114285714,57.63732699999999,94.51752085714286,1.0029639428571429,1.0064305285714286,0.06477999957142858,19.54461014285714,9.160901999999998,76.07742392857142,36.880193857142864,0.001733292857142854,19.811037214285715,9.587415571428572,75.61975228571428,36.67818685714286,0.0017772357142857853,18.45968192857143,8.314444428571429,79.34458528571429,33.40848342857144,0.001698857142857113
2010-06-06,15,2.200227e-08,0.24709271,10.938925,12.113712857142858,19.700269571428574,63.703750142857146,94.51790785714286,1.0059900857142856,1.0096869571428573,0.47929714442857146,34,1.5992771e-05,0.44105908,10.053312,13.626726428571429,21.49122828571429,58.565585,89.6206677142857,1.0052741428571428,1.0088901428571428,0.2754471584285714,847,0.0,0.39756468,33.590263,13.203992571428572,20.946071,59.32210585714286,91.087942,1.0055102142857142,1.009149342857143,0.3249500014285714,17.075031785714287,7.742078428571428,75.20502392857142,31.76583614285714,0.0018195642857143923,17.558977357142858,7.86450185714286,74.09312635714285,31.055082714285703,0.0018080000000000318,15.906991214285716,7.586556714285717,79.110829,30.814157714285713,0.0018484357142858343
2010-06-13,10,1.3253699e-05,0.2640431,7.2926164,9.812159957142857,20.567165,55.58816885714286,90.64443142857144,1.0074450000000001,1.0113207142857144,0.03310857114285714,21,0.00024420823,0.42236918,6.2093987,10.376094342857142,22.87111557142857,49.04489014285714,90.18554200000001,1.0064794714285714,1.0105302857142857,0.007584285714285715,550,0.0,0.38168514,21.81186,10.149505657142857,22.270512142857143,49.82776985714286,90.63651142857144,1.0067801714285713,1.0107027571428573,0.006297142857142857,16.2100089,12.121006485714286,70.23214064285715,40.80874157142858,0.001961292857142971,16.623604957142856,12.49502122857143,69.61521607142858,41.14065185714287,0.0020254071428571496,15.189662478571428,10.755005042857142,73.11630014285714,35.056262571428576,0.0019378571428571023
2010-06-20,5,0.000336794,0.23185398,3.6463082,8.441144614285715,23.552808714285714,43.823173,90.01147357142858,1.0039746285714286,1.0083798571428573,0.0,19,0.014411093,0.54619485,5.618027,8.174107085714287,24.885903428571428,40.10882728571429,92.25199771428571,1.0035158714285715,1.0080330714285715,0.0,426,0.0,0.45411757,16.894278,8.506731214285713,24.543936285714285,40.25673171428571,91.23225428571428,1.0036924,1.0081809428571429,0.0,16.525333749999998,16.037205071428573,65.74449299999999,50.97552257142856,0.0022442714285714205,16.530005257142857,16.71179634285714,66.1804125,52.143170428571416,0.0022585999999999995,15.996976664285715,15.111664099999999,66.91732328571429,46.188300571428584,0.0022026142857143327
2010-06-27,3,0.008905716,0.26263338,2.187785,11.258313857142856,22.651358285714284,51.710249142857144,90.35579342857143,1.005888557142857,1.0096633428571429,0.10590857114285715,13,0.025804453,0.5259005,3.8439136,11.711879285714286,24.730093857142858,44.49670157142857,89.592907,1.0050477285714285,1.0091007571428572,0.004154285657142857,305,0.0,0.48853427,12.095668,11.709660142857143,24.086770285714287,45.84329471428571,88.62772485714287,1.0053573571428571,1.0092777142857143,0.029032855714285714,17.898215214285713,12.377110142857145,67.23550978571429,42.784430142857154,0.0019601785714286057,18.220986571428572,13.018214571428572,67.04480428571428,45.09620542857143,0.0020265142857143204,16.95483607142857,11.393044428571429,71.03302128571428,38.64554428571429,0.0018873928571429
2010-07-04,5,0.33244094,0.78025377,3.6463082,9.902906357142857,21.720641999999998,51.77486042857142,91.56664342857142,1.0076876285714287,1.0116241000000001,0.03179571428571428,13,0.15725029,0.70039874,3.8439136,9.677991714285714,23.976069571428575,42.92354471428571,92.62315171428573,1.0066928142857143,1.011056257142857,0.005382857142857142,253,2.4269475e-13,0.57199794,10.033456,9.769029857142858,23.261404857142857,45.65474271428571,92.52669428571429,1.0070251285714285,1.0111865857142859,0.017108571428571428,16.51521735714286,13.492375,69.0907185,46.871951571428575,0.002080728571428714,16.827030642857146,14.29807785714286,67.77334821428572,49.699607000000015,0.002181721428571315,15.811774178571428,11.81773564285714,71.67075192857142,39.791783,0.0019682357142857265
2010-07-11,5,0.56755364,1.1114984,3.6463082,12.062696285714285,21.92586857142857,58.327504285714284,93.228721,1.005708,1.0095919142857144,0.37897,9,0.11522935,0.6119908,2.661171,12.829315,24.35157542857143,48.07467585714286,90.17338500000001,1.0046148285714287,1.0088130857142856,0.09196285428571428,244,0.0001050362,0.7332252,9.676534,12.705766785714287,23.577462285714287,50.82722871428572,91.3419437142857,1.0050077428571427,1.0090727000000002,0.15336856714285713,18.141614535714286,10.8716955,71.08458621428571,40.51471499999999,0.002032478571428742,18.590445214285715,11.52226042857143,69.12403042857143,42.09870914285715,0.0020991285714284658,16.994282428571427,9.863172285714285,75.77811264285714,34.90121671428571,0.0019419571428571647
2010-07-18,2,0.15529098,0.45926324,1.4585233,14.149784714285714,23.035796857142856,57.70697128571429,94.76024500000001,1.0060094571428573,1.0095469285714285,0.27763142942857144,7,0.118490264,0.5827962,2.0697997,15.509805,25.56191571428571,47.03300457142858,88.68066928571429,1.0047227857142857,1.0086410857142858,0.03290857085714286,190,9.759461e-05,0.70478547,7.535006,15.112169642857143,24.86341657142857,49.04059614285715,90.77180628571429,1.0051596714285715,1.0089013,0.075579997,19.987793107142856,9.751246928571426,69.90620121428572,41.731210142857144,0.0018708142857142285,20.535860357142855,10.05211071428571,67.85683692857143,41.64766471428571,0.0019591500000000206,18.592790785714286,8.886012142857142,76.23360814285715,37.05327371428572,0.0017687357142855964
2010-07-25,2,0.18928632,0.50226253,1.4585233,11.59749042857143,21.87157314285714,55.853657428571424,95.95591585714286,1.0082822,1.012410657142857,0.041798572285714285,4,0.0599305,0.423962,1.1827426,12.522936357142857,24.38077228571429,46.59429028571429,92.32950914285713,1.0071731857142856,1.0117023714285713,0.0055042861428571425,160,0.00014035836,0.6908356,6.3452682,12.386644571428572,23.51904757142857,49.37115642857143,93.23214428571428,1.0076019857142857,1.0119549714285714,0.011712857715714287,17.95284607142857,11.132402999999996,71.30165035714286,43.86098785714285,0.002176492857142831,18.451854321428574,11.857835928571433,69.4618997142857,45.73521885714285,0.0022645928571428664,16.734531785714285,10.274082714285711,75.90478664285715,40.10225842857143,0.002064228571428517
