,casos_2211308,p_rt1_2211308,p_inc100k_2211308,temp_min_2211308,temp_max_2211308,umid_min_2211308,umid_max_2211308,pressao_min_2211308,pressao_max_2211308,precip_tot_2211308,casos_2211001,p_rt1_2211001,p_inc100k_2211001,temp_min_2211001,temp_max_2211001,umid_min_2211001,umid_max_2211001,pressao_min_2211001,pressao_max_2211001,precip_tot_2211001,temp_mean_2211001,temp_amp_2211001,umid_mean_2211001,umid_amp_2211001,pressao_mean_2211001,temp_mean_2211308,temp_amp_2211308,umid_mean_2211308,umid_amp_2211308,pressao_mean_2211308
2021-02-07,0,0.5,0.0,23.822017142857142,33.76186285714286,40.422691285714286,73.49428642857143,0.9951976014285714,1.00007223,0.04637142857142857,19,0.8108579,2.188751,23.395089428571428,33.855503285714285,47.381021,92.85502257142856,0.9950996728571428,0.9994238857142858,0.15231142285714286,28.625296357142858,10.460413857142857,70.11802178571428,45.474001571428566,0.002162106428571453,28.79194,9.939845714285717,56.958488857142854,33.07159514285714,0.0024373142857143093
2021-02-14,0,0.5,0.0,22.821219000000003,29.723558571428573,63.57123271428571,92.237042,0.9955204414285713,0.9999917557142857,3.4916671442857146,15,0.32951385,1.7279613,23.374284999999997,30.82779414285714,66.96072328571428,96.52242128571427,0.9947839285714286,0.9990210685714286,3.1077728757142857,27.10103957142857,7.453509142857143,81.74157228571428,29.561697999999993,0.0021185699999999863,26.272388785714288,6.90233957142857,77.90413735714286,28.66580928571429,0.0022356571428571725
2021-02-21,0,0.5,0.0,22.704084285714284,28.029876714285713,72.44632714285714,94.56459357142856,0.9968092328571428,1.0007855285714284,4.554171198571429,21,0.65927505,2.4191458,23.263218571428574,29.097028571428574,73.28255928571427,97.24322728571428,0.99625112,1.0001963285714286,4.716001614285714,26.180123571428574,5.83381,85.26289328571428,23.960668000000013,0.0019726042857142745,25.366980499999997,5.325792428571429,83.50546035714285,22.118266428571417,0.001988147857142797
2021-02-28,0,0.5,0.0,22.388811714285712,29.57672971428571,64.37141014285714,93.26191485714286,0.9956912985714286,1.00006413,2.307358571428572,10,0.07219087,1.1519742,22.823403428571428,30.569362,67.65758628571429,96.67519628571428,0.99468424,0.9994179485714286,4.387714285714286,26.696382714285715,7.745958571428574,82.16639128571428,29.01760999999999,0.002366854285714315,25.982770714285714,7.187918,78.8166625,28.89050471428571,0.0021864157142856833
2021-03-07,0,0.5,0.0,22.607064714285713,30.1892,61.516693857142855,90.65402442857143,0.9959926757142857,1.0002905642857143,4.104252826714285,14,0.33506528,1.6127639,23.020054285714284,30.826873714285714,66.98705071428572,96.51220042857143,0.99543307,0.9995246014285714,2.660335732857143,26.923464,7.80681942857143,81.74962557142857,29.525149714285718,0.0020457657142856633,26.398132357142856,7.582135285714287,76.08535914285714,29.137330571428578,0.0021489442857142715
2021-03-14,0,0.5,0.0,22.703857571428575,30.312678714285713,59.09350871428571,88.95329342857143,0.99597711,1.0008768571428572,0.2260028528571429,15,0.5622906,1.7279613,23.425014142857144,31.846356857142858,61.47304157142857,94.80377785714286,0.99542085,0.99992012,0.6067857200000001,27.6356855,8.421342714285714,78.13840971428571,33.330736285714295,0.002249634999999972,26.508268142857144,7.608821142857138,74.02340107142857,29.859784714285716,0.002449873571428618
2021-03-21,0,0.5,0.0,22.303518999999998,29.118063714285714,64.52928442857143,96.62909142857143,0.9963093971428572,1.0009045571428572,2.4418285542857143,12,0.38240862,1.382369,22.781105999999998,29.10978057142857,73.24092871428572,96.98763871428571,0.9957875285714286,1.0001506742857142,6.2971273142857145,25.945443285714283,6.3286745714285715,85.1142837142857,23.746709999999993,0.0021815728571428217,25.710791357142856,6.8145447142857165,80.57918792857143,32.099807,0.0022975800000000213
2021-03-28,0,0.5,0.0,22.405151285714286,28.981462714285716,67.59546414285714,93.87494514285713,0.9972713157142857,1.0018392142857144,1.2803628185714284,7,0.07519443,0.80638194,23.041835285714285,29.961704857142855,70.81950157142857,97.58195914285714,0.9964740657142858,1.0010812,4.737134228571429,26.50177007142857,6.9198695714285705,84.20073035714286,26.76245757142857,0.0023035671428571214,25.693307,6.5763114285714295,80.73520464285713,26.27948099999999,0.0022839492857143484
2021-04-04,0,0.5,0.0,22.064134857142857,30.797690285714285,56.64338671428572,91.64796857142858,0.9950543514285715,0.99978781,0.37294571435714285,10,0.37442917,1.1519742,23.207253857142856,31.162903142857143,63.76989842857143,96.04050442857144,0.9947517499999999,0.9990341428571429,1.4720400157857143,27.1850785,7.955649285714287,79.90520142857143,32.27060600000001,0.002141196428571468,26.43091257142857,8.733555428571428,74.14567764285715,35.00458185714286,0.0023667292857142974
2021-04-11,0,0.5,0.0,22.67475657142857,32.029231571428575,46.38190071428572,76.77462357142858,0.99578637,1.0003550357142856,0.14783428557142855,15,0.8568813,1.7279613,23.020778,32.48886542857143,53.841842,92.693035,0.99530601,0.9994934857142858,0.14257285142857143,27.754821714285715,9.46808742857143,73.2674385,38.851192999999995,0.0020937378571428966,27.35199407142857,9.354475000000004,61.57826214285715,30.392722857142857,0.002284332857142801
2021-04-18,0,0.5,0.0,23.332218714285716,31.034912285714285,57.87781871428571,84.36084128571429,0.996466317142857,1.0007148342857142,0.9784842828571428,20,0.9482063,2.3039484,23.165688714285714,31.685691,61.14821071428571,96.86278357142858,0.9954432642857143,0.9998607899999999,2.1300486008571426,27.425689857142856,8.520002285714284,79.00549714285714,35.71457285714287,0.002208762857142832,27.1835655,7.7026935714285685,71.11932999999999,26.483022571428577,0.002124258571428561
