,casos_2706901,p_rt1_2706901,p_inc100k_2706901,temp_min_2706901,temp_max_2706901,umid_min_2706901,umid_max_2706901,pressao_min_2706901,pressao_max_2706901,precip_tot_2706901,casos_2704708,p_rt1_2704708,p_inc100k_2704708,temp_min_2704708,temp_max_2704708,umid_min_2704708,umid_max_2704708,pressao_min_2704708,pressao_max_2704708,precip_tot_2704708,casos_2704500,p_rt1_2704500,p_inc100k_2704500,temp_min_2704500,temp_max_2704500,umid_min_2704500,umid_max_2704500,pressao_min_2704500,pressao_max_2704500,precip_tot_2704500,casos_2704302,p_rt1_2704302,p_inc100k_2704302,temp_min_2704302,temp_max_2704302,umid_min_2704302,umid_max_2704302,pressao_min_2704302,pressao_max_2704302,precip_tot_2704302,casos_2703759,p_rt1_2703759,p_inc100k_2703759,temp_min_2703759,temp_max_2703759,umid_min_2703759,umid_max_2703759,pressao_min_2703759,pressao_max_2703759,precip_tot_2703759,temp_mean_2703759,temp_amp_2703759,umid_mean_2703759,umid_amp_2703759,pressao_mean_2703759,temp_mean_2704302,temp_amp_2704302,umid_mean_2704302,umid_amp_2704302,pressao_mean_2704302,temp_mean_2704500,temp_amp_2704500,umid_mean_2704500,umid_amp_2704500,pressao_mean_2704500,temp_mean_2704708,temp_amp_2704708,umid_mean_2704708,umid_amp_2704708,pressao_mean_2704708,temp_mean_2706901,temp_amp_2706901,umid_mean_2706901,umid_amp_2706901,pressao_mean_2706901
2010-12-26,0,0.5,0.0,23.229692857142858,31.236651,53.447725428571424,92.35367785714286,0.9970235785714285,0.9999977385714286,0.16292570871428572,0,0.5,0.0,24.39845942857143,29.554556714285713,62.22742742857143,87.93674157142857,0.9972311685714287,0.99993092,0.26926286528571425,0,0.0,0.0,24.804391142857146,28.807347,65.95160971428571,85.63844185714287,0.9972418514285714,0.9998688771428572,0.298375713,0,0.0,0.0,25.53514742857143,27.43481,71.21407728571428,82.72397657142857,0.9973478985714286,0.9999315657142857,0.28185571042857144,0,0.5,0.0,25.189850142857146,30.030534857142857,59.43385885714286,85.21146357142857,0.9971280042857142,0.9998139657142857,0.1313642857142857,27.610192500000004,4.840684714285711,72.32266121428572,25.777604714285708,0.0013429807142857353,26.484978714285717,1.8996625714285678,76.96902692857142,11.509899285714283,0.0012918335714285356,26.805869071428575,4.0029558571428545,75.79502578571429,19.686832142857156,0.0013135128571429289,26.976508071428572,5.1560972857142815,75.08208450000001,25.70931414285714,0.001349875714285631,27.23317192857143,8.00695814285714,72.90070164285714,38.90595242857143,0.0014870800000000295
2011-01-02,3,0.9872154,8.519823,22.975041,31.26062457142857,51.99130814285714,91.53514642857144,0.9942830942857144,0.9977320928571428,0.2320500064285714,11,0.9998442,21.000381,24.05454357142857,29.705771285714285,60.328517142857145,87.8598872857143,0.9945365571428572,0.9976537485714285,0.32711428,0,0.0,0.0,24.186702,29.13952642857143,62.777252142857144,86.64318514285715,0.9946156514285713,0.99766886,0.3173885651428571,64,1.0,6.24171,25.142617285714287,27.559618142857143,70.57009714285714,84.21938142857142,0.9947671114285714,0.9976443542857142,0.34714,0,0.5,0.0,25.002432571428574,29.874537857142858,59.786533142857145,85.65098857142857,0.9944394828571428,0.9975130042857143,0.23981428,27.438485214285716,4.872105285714284,72.71876085714285,25.864455428571425,0.0015367607142857675,26.351117714285714,2.417000857142856,77.39473928571428,13.649284285714288,0.0014386214285713739,26.663114214285713,4.952824428571429,74.71021864285714,23.865933000000005,0.001526604285714328,26.88015742857143,5.651227714285714,74.09420221428572,27.53137014285715,0.0015585957142856821,27.117832785714285,8.285583571428567,71.7632272857143,39.543838285714294,0.0017244992857142205
2011-01-09,3,0.89354503,8.519823,23.36824257142857,30.511740571428568,57.59535742857143,92.21881014285714,0.9961583885714286,0.9990406685714286,0.5024557242857143,10,0.97652024,19.091257,24.33905457142857,29.11184242857143,64.30016185714285,87.90158742857143,0.9962244,0.9988896028571429,0.5709357214285714,0,0.0,0.0,24.848676285714284,29.158469285714286,62.678043,84.50363842857143,0.9961083614285714,0.9987297142857143,0.38371428142857145,57,0.9999974,5.5590234,25.40035157142857,27.21773442857143,73.02451028571429,83.41536285714285,0.9962641428571428,0.9987998528571429,0.5462214285714285,2,0.9779825,17.337032,24.87066242857143,29.094748428571428,66.25130857142857,87.86729857142858,0.9962081871428572,0.9988594371428572,0.6391214285714285,26.98270542857143,4.224086,77.05930357142857,21.61599000000001,0.001325624999999997,26.309043,1.81738285714286,78.21993657142858,10.390852571428567,0.00126785500000004,27.003572785714283,4.309793000000003,73.59084071428572,21.825595428571432,0.0013106764285714667,26.7254485,4.772787857142859,76.10087464285715,23.601425571428578,0.001332601428571445,26.93999157142857,7.1434979999999975,74.90708378571429,34.623452714285705,0.0014411400000000074
2011-01-16,2,0.4932247,5.679882,23.16114142857143,31.285456857142858,52.17867714285715,93.65416942857142,0.9957491614285715,0.9993653785714286,0.3269728585714286,24,0.9981951,45.819016,24.212611714285714,29.729928,60.82089028571429,89.388265,0.9959285600000001,0.9992496457142857,0.5837357128571429,0,0.0,0.0,24.512577714285715,29.169019428571428,64.76160314285714,87.34671542857143,0.9960149485714286,0.9991877857142857,0.68507429,49,0.7705953,4.7788095,25.295026428571425,27.549242285714286,72.22979057142858,84.45517657142857,0.9961024985714285,0.9992100771428571,0.8034242571428571,0,0.0,0.0,24.697339857142858,29.881081714285717,60.00440785714285,88.41335142857143,0.9958442842857143,0.9991151714285714,0.49431287142857144,27.28921078571429,5.183741857142859,74.20887964285714,28.40894357142858,0.0016354435714285853,26.422134357142856,2.25421585714286,78.34248357142857,12.225385999999986,0.0015537892857143132,26.84079857142857,4.656441714285712,76.05415928571429,22.58511228571429,0.0015864185714285495,26.971269857142858,5.517316285714287,75.10457764285715,28.567374714285712,0.0016605428571427883,27.223299142857144,8.124315428571428,72.91642328571429,41.475492285714274,0.001808108571428546
2011-01-23,0,0.0,0.0,23.022251714285716,29.519897571428572,62.19056971428571,93.02792442857142,0.9951258714285715,0.9983885557142858,1.1171042957142858,17,0.74775714,32.455135,23.927738714285713,28.38802242857143,68.66171857142857,90.43522071428572,0.9951457328571429,0.9982192728571428,1.3236357328571429,1,0.9632679,3.0273674,24.1058,27.79701885714286,71.52236685714286,89.70902657142858,0.9950052771428571,0.9980834857142857,1.7662142708571427,60,0.73559785,5.8516035,24.738023857142856,26.748530857142857,75.987927,87.37313785714286,0.99515291,0.9981284157142857,1.6576570842857143,1,0.554064,8.668516,24.456669428571427,28.386618571428574,69.27087685714285,89.30551342857143,0.9951989014285714,0.9981836657142857,1.4051442714428573,26.421644,3.929949142857147,79.28819514285715,20.034636571428578,0.0014923821428571848,25.74327735714286,2.0105070000000005,81.68053242857144,11.385210857142866,0.0014877528571428655,25.95140942857143,3.691218857142861,80.61569671428572,18.186659714285724,0.001539104285714299,26.15788057142857,4.4602837142857155,79.54846964285714,21.773502142857154,0.001536769999999965,26.271074642857144,6.497645857142857,77.60924707142857,30.837354714285716,0.0016313421428571506
2011-01-30,0,0.0,0.0,22.585985714285716,29.061388285714287,65.831655,94.41202728571429,0.9975335628571429,1.0003897285714285,1.3391357,28,0.9276377,53.455517,23.526354142857144,28.104875857142854,71.38883228571429,91.54900428571429,0.9974467285714285,1.0002571371428572,1.6473485714285714,3,0.96201503,9.082102,23.89246042857143,27.852983571428574,72.74988342857144,89.95208914285715,0.9973468285714286,1.0000783942857143,1.639450042857143,59,0.6642307,5.7540765,24.552110857142857,26.749324142857144,76.88883628571429,87.80055142857142,0.99740439,1.0001961185714285,1.54890999,1,0.58240587,8.668516,24.133318,28.270581999999997,71.55524214285715,89.56237428571428,0.9974125814285715,1.0002219357142856,1.2684485657142857,26.201949999999997,4.137263999999998,80.55880821428572,18.00713214285713,0.0014046771428570803,25.6507175,2.1972132857142874,82.34469385714286,10.911715142857133,0.0013958642857142545,25.872722000000003,3.960523142857145,81.3509862857143,17.20220571428571,0.0013657828571428388,25.815615,4.57852171428571,81.4689182857143,20.160172000000003,0.0014052042857143898,25.823687,6.475402571428571,80.12184114285714,28.58037228571429,0.0014280828571427984
2011-02-06,1,0.6099653,2.839941,23.111956,30.513231285714287,60.383730285714286,94.28204271428571,0.99716469,1.0003387771428571,0.7723857328571428,47,0.99860907,89.728905,24.239183714285712,29.27395642857143,66.891036,89.65426142857143,0.9971785128571428,1.0001760100000001,0.7808885600000001,5,0.9434991,15.136837,24.45625085714286,29.010851142857145,67.33399485714286,88.41422771428572,0.9970786185714287,0.9999757871428571,0.6944728514285714,58,0.55363256,5.65655,25.361071142857146,27.569383714285713,73.84523928571427,84.36249128571428,0.9972196842857143,1.0000649257142857,0.6354185771428572,1,0.5732014,8.668516,25.03017314285714,29.370548714285714,67.75568185714285,86.56724942857143,0.9971861214285714,1.0001109228571428,0.6125828642857142,27.200360928571428,4.340375571428574,77.16146564285714,18.811567571428583,0.001462400714285661,26.46522742857143,2.208312571428568,79.10386528571428,10.517252000000013,0.0014226207142857272,26.733551000000002,4.554600285714287,77.87411128571429,21.08023285714286,0.001448584285714205,26.75657007142857,5.034772714285719,78.27264871428571,22.76322542857143,0.0014987485714286763,26.812593642857145,7.401275285714288,77.3328865,33.89831242857142,0.0015870435714285813
2011-02-13,0,0.0,0.0,23.441192857142855,30.442792571428573,60.962332714285715,92.72767442857143,0.9975234657142857,1.0003799842857144,0.6486056914285714,6,2.7822738e-05,11.454754,24.496342285714285,29.264870714285713,67.48513085714286,88.33980085714286,0.9976319185714286,1.0002803,0.731091412857143,5,0.7839936,15.136837,24.833518,28.757629428571427,70.10546514285714,86.09397857142858,0.9975361971428571,1.0001605185714286,0.9139371399999999,60,0.56465113,5.8516035,25.614440857142856,27.503374428571426,74.25309,83.90493014285714,0.9976763757142857,1.000237852857143,0.7221042871428571,2,0.750073,17.337032,25.260062142857144,29.52985471428571,66.375557,86.37814128571428,0.9976172814285714,1.000189262857143,0.5351528628571429,27.394958428571428,4.269792571428567,76.37684914285714,20.002584285714278,0.0012859907142857563,26.558907642857143,1.88893357142857,79.07901007142857,9.65184014285714,0.0012807385714286301,26.795573714285716,3.9241114285714254,78.09972185714287,15.988513428571437,0.0013121607142857483,26.8806065,4.768528428571429,77.91246585714286,20.85467,0.001324190714285689,26.941992714285714,7.001599714285717,76.84500357142858,31.765341714285718,0.0014282592857143284
2011-02-20,0,0.0,0.0,23.091461428571428,29.26300471428571,64.89974428571428,94.19755428571429,0.9969853942857142,1.000035247142857,1.42712719,9,0.00047676926,17.18213,24.020329142857143,28.326463999999998,70.778513,91.03157071428572,0.9969900314285713,0.9998424871428571,1.8479242857142857,6,0.7089241,18.164204,24.25212314285714,28.063176,71.61762285714286,89.73129371428571,0.99689696,0.9997639685714285,1.8263629285714287,65,0.70861316,6.3392367,24.898088857142856,27.058558857142856,76.10427428571428,87.20634771428571,0.99699881,0.9997553185714285,2.0595314314285713,1,0.42540118,8.668516,24.56039,28.610526,70.34945571428571,90.34113485714286,0.9970162057142857,0.9997889128571428,1.647877147142857,26.585458000000003,4.050135999999998,80.34529528571429,19.99167914285715,0.0013863535714285224,25.978323857142854,2.16047,81.655311,11.10207342857143,0.0013782542857142532,26.15764957142857,3.811052857142858,80.67445828571428,18.11367085714285,0.0014335042857142044,26.17339657142857,4.306134857142855,80.90504185714286,20.253057714285717,0.0014262278571428588,26.177233071428567,6.171543285714282,79.54864928571428,29.297810000000013,0.0015249264285714381
2011-02-27,8,0.9982296,22.719528,22.883636285714285,29.955657857142857,67.61265399999999,95.60623071428572,0.9960752214285715,0.9994750014285714,1.1458528714285714,36,0.9878586,68.72852,23.95059642857143,28.82281057142857,73.046626,92.56576685714286,0.99607164,0.99930286,1.1692185671428572,9,0.844074,27.246307,24.308968714285715,28.399414142857143,74.53925985714285,91.24392357142857,0.9961069414285715,0.9992101957142857,1.2695842742857144,90,0.9887698,8.777405,25.12311642857143,27.221165285714285,78.65385885714285,88.52349328571428,0.9960893628571429,0.9991866342857143,1.1933214271428572,0,0.0,0.0,24.463182857142858,29.075509,73.16968,91.07011142857142,0.9959815142857142,0.9991815728571429,0.88625713,26.76934592857143,4.6123261428571425,82.11989571428572,17.900431428571423,0.0016000292857143439,26.172140857142857,2.0980488571428566,83.58867607142857,9.86963442857143,0.0015486357142857066,26.35419142857143,4.090445428571428,82.89159171428571,16.704663714285715,0.001551627142857115,26.3867035,4.872214142857139,82.80619642857144,19.519140857142858,0.0016156099999999896,26.41964707142857,7.0720215714285715,81.60944235714285,27.993576714285723,0.0016998899999999262
2011-03-06,4,0.7817546,11.359764,22.965157428571427,30.705841,58.26994042857143,94.47330514285714,0.9952784614285715,0.9985705514285714,0.8620314307142857,10,0.08546683,19.091257,24.066623857142854,29.65420542857143,64.0098272857143,90.00613871428571,0.9954241128571429,0.9984228914285714,0.731695718,5,0.34019914,15.136837,24.36208242857143,28.934461,67.29767414285713,87.95448142857143,0.995508187142857,0.9983576528571428,1.2764628642857143,118,0.9996124,11.508153,25.342682,27.732448142857145,72.77540171428572,84.74621571428573,0.9955884542857143,0.9983678571428571,0.7431514571428571,1,0.5015859,8.668516,24.825844999999997,29.777309142857145,63.87672414285714,87.85335771428572,0.9954005242857143,0.9983655714285715,0.7462442845714286,27.30157707142857,4.951464142857148,75.86504092857143,23.97663357142858,0.0014825235714285845,26.537565071428574,2.3897661428571446,78.76080871428573,11.970814000000004,0.0013897014285714215,26.648271714285713,4.572378571428569,77.62607778571427,20.656807285714294,0.0014247328571428963,26.860414642857144,5.587581571428576,77.007983,25.996311428571417,0.0014993892857142477,26.83549921428571,7.740683571428573,76.3716227857143,36.20336471428571,0.0016460449999999849
2011-03-13,4,0.44512638,11.359764,23.48911842857143,31.132856,59.508064142857144,95.10544628571428,0.9949856985714286,0.9986888599999999,0.33071,41,0.9933005,78.27415,24.515829857142855,29.86050842857143,66.42892457142857,91.184,0.9951488114285715,0.9985782285714285,0.5203385714285714,11,0.8242751,33.30104,24.740142857142853,29.037440857142858,71.10407571428571,90.690002,0.9952879257142858,0.9985938557142857,0.7751957277142857,128,0.9944675,12.48342,25.577684714285713,27.898259,75.26506200000001,87.29474685714285,0.9953443228571429,0.99855766,0.6347128528571429,0,0.0,0.0,25.33278114285714,30.110186,65.37600371428572,89.35118057142857,0.99506956,0.9984447514285714,0.38410997857142853,27.72148357142857,4.777404857142859,77.36359214285714,23.975176857142856,0.0016875957142856723,26.737971857142856,2.3205742857142866,81.27990442857143,12.02968485714284,0.001606668571428549,26.888791857142856,4.297298000000005,80.89703885714286,19.585926285714294,0.0016529649999999507,27.18816914285714,5.344678571428574,78.80646228571428,24.75507542857143,0.0017147085714285248,27.310987214285717,7.64373757142857,77.30675521428572,35.597382142857136,0.00185158071428565
